tstamp,googl,intl,nvda
2017-01-04,-2.970260269056189e-4,0.01113585746102457,0.02333104597588467
2017-01-05,0.006499374822040928,-0.05115026921194313,-0.025385573330778864
2017-01-06,0.014993481095176078,-0.0015475883415012191,0.01336740711617849
2017-01-09,0.002387271118866608,-0.009816584861792885,0.04054316197866156
2017-01-10,-0.0014144442563891282,0.003391599269501763,-0.00755033557046982
2017-01-11,0.004660960521059095,0.00910036401456062,-0.012303935380858479
2017-01-12,-3.9765743619410616e-4,-0.021386240659623947,-0.016356028908330152
2017-01-13,0.0016997576941160438,0.009215376513954751,-9.667440061862824e-5
2017-01-17,-0.004188028016463305,-0.03913383772501957,-0.022430629411196047
2017-01-18,0.0018852875063446516,0.0016291067064893368,0.01819800217584812
2017-01-19,-0.005609032351451083,-0.008674437516942269,0.021466731423020823
2017-01-20,0.004609580649465597,0,-0.01093571700266253
2017-01-23,0.019633650095994774,-0.011484823625922935,0.010383616959907685
2017-01-24,0.006039576992764377,0.009681881051175697,0.02131506327909406
2017-01-25,0.01049992348710472,0.015890410958904064,0.0042858473865648745
2017-01-26,-0.0017123886073737867,-0.00755124056094933,0.01725577511828555
2017-01-27,-0.013944316086723196,0.017663043478261024,0.0193342453260373
2017-01-30,-0.02508786670295721,-0.011481975967957268,-0.01565715308222242
2017-01-31,-0.00441838728863963,-0.0037817396002161143,-0.007634975459007355
2017-02-01,-0.006035186968873121,0.0078633405639913,0.043689320388349474
2017-02-02,0.0037044305971247506,-0.017218186709712147,0.012637121544537057
2017-02-03,0.0022853371788918004,0.015603613468382158,-0.008752924863506414
2017-02-06,0.001816785143818674,-0.0037735849056603926,0.025616366497639508
2017-02-07,0.009262189333268438,0.0016233766233766848,0.015514448896087232
2017-02-08,7.838597252872873e-4,0.007293354943273798,-0.004364979434231479
2017-02-09,2.168988287462645e-4,-0.01716277822472514,-0.018801112890987303
2017-02-10,0.005770667180685827,0.020463847203274217,-0.023715415019762768
2017-02-13,0.004923040067077934,0.008021390374331664,-0.04611864108431622
2017-02-14,0.0012753885763325263,-0.01618037135278513,0.0036907178446208312
2017-02-15,-0.003226075259216841,-0.004583445672688102,0.002022430593859155
2017-02-16,0.00579228968614139,0.0010834236186348632,-0.016055045871559634
2017-02-17,0.005200850184642051,-0.0013528138528139681,-1.8648018648014937e-4
2017-02-21,0.0032130411670899858,-0.008127878623679143,0.03581087382262416
2017-02-22,0.002460937040046195,-0.0024583447145587627,-0.002791032682092267
2017-02-23,-4.2285284720918723e-4,0.020810514786418346,-0.09272300469483577
2017-02-24,-0.003748531139835552,0.002950643776824019,0.00965270176136928
2017-02-27,0.002193887781460485,0.032361594009093365,0.029075497733096818
2017-02-28,-0.005578636411783409,-0.022020725388601073,-0.028062446125849943
2017-03-01,0.013989324559431018,0.03761589403973514,0.012908947575877043
2017-03-02,-0.008053691275167758,-0.01736022466173091,-0.036871290981613056
2017-03-03,-9.06042242748699e-4,-0.006235385814497323,-0.005757575757575689
2017-03-06,-0.0021317190370754922,-0.00627450980392162,-0.007721223204307681
2017-03-07,0.0045794138822335215,-0.002630886608787199,0.010955257499743966
2017-03-08,0.002925453797802983,0.005803218148246004,-0.001822969414624191
2017-03-09,0.004920106836605648,0.0020980854969839574,-2.0292207792203755e-4
2017-03-10,0.004149958034132175,-0.011253598534415066,0.005885934645829087
2017-03-13,0.0036916647318319755,0.016940179989412402,0.027542372881355828
2017-03-14,0.0015383191838811065,-0.004945340968245831,-6.872852233676306e-4
2017-03-15,0.002864038987885598,0.013601883337692994,0.007565337001375476
2017-03-16,0.001854005688688278,0.027612903225806458,0.012286689419795271
2017-03-17,0.002724137931034488,-0.07559015570065289,0.021770542336961667
2017-03-20,-0.005112509600284324,0.002444987775061024,0.03186574903365711
2017-03-21,-0.02047447315965939,-0.013008130081300728,-0.03234353586112386
2017-03-22,-3.999341284965204e-4,-0.004118616144975249,0.02039467472382208
2017-03-23,-0.01194398682042831,0.007168458781361952,-0.009068196539280001
2017-03-24,-0.005371285654737082,-0.0101286613742131,0.0035484172191614103
2017-03-27,0.004035251574586302,0.002212389380531123,0.007257839397041045
2017-03-28,0.002528294236204702,0.00855408388520958,-0.005173210161662839
2017-03-29,0.010991756182862864,0.002462380300957686,-0.003250069644349469
2017-03-30,-4.588937131561137e-4,0.027838427947598145,0.01919135457425007
2017-03-31,-0.001977680463342355,0.007966011683483916,-0.004296160877513701
2017-04-03,0.010556735079028127,-0.011327713382507895,-0.00504911410997899
2017-04-04,-0.004878902830463904,-0.008526512123634433,-0.07012363904779474
2017-04-05,-0.004292902635560812,-0.013974737973663078,-0.00744195276840643
2017-04-06,-0.004488108280029621,5.451076587626909e-4,0.007297810656802999
2017-04-07,-0.0035498757543485976,-0.00408608008716967,-0.004267566494640798
2017-04-10,-4.750029687685278e-4,-0.0027352297592998197,-0.025515797867038795
2017-04-11,-0.0021622906023524412,5.485463521666489e-4,0.0035798302137670917
2017-04-12,0.0018812211268276907,-0.026864035087719215,-0.008255197717081149
2017-04-13,-0.0015211655931358428,-0.007887323943662004,-0.018703113760148056
2017-04-17,0.017793806089171423,0.0011357183418511966,0.03916640485914765
2017-04-18,-0.0013331306351080962,0.013045944412932527,6.04655850045372e-4
2017-04-19,0.0029508542254592933,0.002519596864501775,0.003927888004834329
2017-04-20,0.004168077430502913,0.023457134878525448,0.01585072231139645
2017-04-21,-0.0013138312715096218,-0.0049113233287858046,0.004147738494963477
2017-04-24,0.023260958146574192,0.009048533040855452,0.012490165224232847
